Microgreen,Biomass_g,Sowing_Density,X,Y,Bed,Light_Intensity_umols,Bed_Position,Position_in_Bed,Unique_Identifier,Red_Light_Intensity_umols,Blue_Light_Intensity_umols,Far_Red_Light_Intensity_umols,
87,Kale(CN),3,15,11,11,C,480,3,Centre,11 11,58.38283951,77.18722222,10.06678571
88,Kale(CN),3.5,15,12,11,C,506,3,Edge,12 11,58.38432099,76.48074074,10.37535714
21,Radish,22,45,13,11,C,459,4,Edge,13 11,58.36666667,77.44833333,9.918035714
22,Radish,25.5,45,14,11,C,442,4,Centre,14 11,58.38024691,77.40203704,9.734107143
23,Radish,23.5,45,15,11,C,426,4,Centre,15 11,58.3717284,75.34296296,9.23875
24,Radish,14.5,45,16,11,C,397,4,Edge,16 11,58.36555556,73.08685185,9.557678571
209,Sunflower,19,100,1,12,C,306,1,Corner,1 12,58.41345679,65.69518519,6.799285714
210,Sunflower,27,100,2,12,C,331,1,Edge,2 12,58.40271605,67.85851852,7.238214286
211,Sunflower,28.5,100,3,12,C,349,1,Edge,3 12,58.40555556,66.26092593,6.938214286
212,Sunflower,17,100,4,12,C,354,1,Corner,4 12,58.40024691,66.83037037,7.135178571
145,Kale(Tozer),7,15,5,12,C,362,2,Corner,5 12,58.38987654,68.81222222,7.85625
146,Kale(Tozer),12.5,15,6,12,C,363,2,Edge,6 12,58.38962963,77.47814815,10.20339286
147,Kale(Tozer),7.5,15,7,12,C,373,2,Edge,7 12,58.39,72.99944444,9.167142857
148,Kale(Tozer),11.5,15,8,12,C,386,2,Corner,8 12,58.3717284,70.05555556,7.721428571
81,Kale(CN),3.5,15,9,12,C,367,3,Corner,9 12,58.37617284,70.47166667,7.945
82,Kale(CN),1.5,15,10,12,C,370,3,Edge,10 12,58.37938272,70.44074074,7.995357143
83,Kale(CN),3.5,15,11,12,C,372,3,Edge,11 12,58.37962963,69.25037037,7.772678571
84,Kale(CN),3.5,15,12,12,C,366,3,Corner,12 12,58.38481481,71.14574074,8.455892857
17,Radish,19,45,13,12,C,331,4,Corner,13 12,58.37098765,69.8462963,7.918214286
18,Radish,27,45,14,12,C,340,4,Edge,14 12,58.36345679,69.46407407,7.76875
19,Radish,28.5,45,15,12,C,329,4,Edge,15 12,58.3637037,68.65814815,7.612857143
20,Radish,17,45,16,12,C,310,4,Corner,16 12,58.37024691,70.22111111,8.234107143
141,Kale(Tozer),9,15,1,13,D,436,1,Corner,1 13,58.40012346,77.49259259,9.931071429
142,Kale(Tozer),15,15,2,13,D,471,1,Edge,2 13,58.40024691,77.49333333,10.42660714
143,Kale(Tozer),12,15,3,13,D,473,1,Edge,3 13,58.41160494,77.50777778,10.20196429
144,Kale(Tozer),6.5,15,4,13,D,472,1,Corner,4 13,58.4417284,77.54759259,9.846785714
77,Kale(CN),1,15,5,13,D,509,2,Corner,5 13,58.43419753,77.53759259,10.64089286
78,Kale(CN),4.5,15,6,13,D,563,2,Edge,6 13,58.42925926,77.52981481,10.89160714
79,Kale(CN),4,15,7,13,D,568,2,Edge,7 13,58.44814815,77.5562963,11.03892857
80,Kale(CN),3,15,8,13,D,496,2,Corner,8 13,58.45753086,77.56851852,10.47464286
13,Radish,10.5,45,9,13,D,515,3,Corner,9 13,58.46641975,77.57907407,10.8425
14,Radish,9,45,10,13,D,501,3,Edge,10 13,58.46703704,77.58240741,10.86785714
15,Radish,19.5,45,11,13,D,501,3,Edge,11 13,58.47444444,77.58962963,10.7675
16,Radish,15.5,45,12,13,D,498,3,Corner,12 13,58.49358025,76.61833333,10.04928571
